"site","POLYID","Freq","experiment","year","input_type","modelled_SOC","init_active_frac","init_slow_frac","init_passive_frac"
"E5_Field 1.1_RT_N0P20_CR1","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",66.73425,24.2918984370211,34.5725377094682,7.86981385351071
"E5_Field 1.1_RT_N45P0_CR1","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",66.73425,24.2918984370211,34.5725377094682,7.86981385351071
"E5_Field 1.1_RT_N45P20_CR1","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",66.73425,24.2918984370211,34.5725377094682,7.86981385351071
"E5_Field 1.2_RT_N0P0_CR2","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",55.90657,20.3505204659109,28.9631186314677,6.59293090262146
"E5_Field 1.2_RT_N0P20_CR2","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",55.90657,20.3505204659109,28.9631186314677,6.59293090262146
"E5_Field 1.2_RT_N45P0_CR2","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",55.90657,20.3505204659109,28.9631186314677,6.59293090262146
"E5_Field 1.2_RT_N45P20_CR2","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",55.90657,20.3505204659109,28.9631186314677,6.59293090262146
"E5_Field 1.3_RT_N0P0_CR3","828001",12,"E5",1922,"c(""0-15"", ""15-30"")",47.10005,17.2595166246677,24.2641037496033,5.57642962572907
"E5_Field 1.3_RT_N0P0_CR4","828001",96,"E5",1940,"c(""0-15"", ""15-30"")",46.095085,16.7790470900004,23.8801524611971,5.43588544880259
"E5_Field 1.3_RT_N0P20_CR3","828001",12,"E5",1922,"c(""0-15"", ""15-30"")",47.10005,17.2595166246677,24.2641037496033,5.57642962572907
"E5_Field 1.3_RT_N0P20_CR4","828001",96,"E5",1940,"c(""0-15"", ""15-30"")",46.095085,16.7790470900004,23.8801524611971,5.43588544880259
